Day,Local Time,Dir,Speed/ Gust,Temp/ Feels Like,Humidity,Pressure,Cloud Amount,Precip Amount,Weather
Thu 13 Jul,10:00,NNE,7 / 8 mph,90 / 94°F,52%,1012 mb,Low level cloud: 0% Mid level cloud: 11% High level cloud: 0% Most Significant Cloud Type: medium 11%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,13:00,NE,13 / 15 mph,92 / 99°F,54%,1012 mb,Low level cloud: 0% Mid level cloud: 9% High level cloud: 0% Most Significant Cloud Type: medium 9%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,16:00,NE,9 / 11 mph,92 / 99°F,55%,1011 mb,Low level cloud: 0% Mid level cloud: 12% High level cloud: 4% Most Significant Cloud Type: medium 12%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,19:00,ENE,5 / 6 mph,89 / 94°F,63%,1011 mb,Low level cloud: 0% Mid level cloud: 16% High level cloud: 73% Most Significant Cloud Type: medium 18%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,22:00,NE,4 / 8 mph,73 / 77°F,84%,1012 mb,Low level cloud: 0% Mid level cloud: 21% High level cloud: 21% Most Significant Cloud Type: medium 21%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,01:00,ENE,5 / 10 mph,71 / 71°F,85%,1012 mb,Low level cloud: 0% Mid level cloud: 27% High level cloud: 6% Most Significant Cloud Type: medium 27%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,04:00,E,6 / 14 mph,71 / 71°F,83%,1011 mb,Low level cloud: 0% Mid level cloud: 28% High level cloud: 0% Most Significant Cloud Type: medium 27%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,07:00,ENE,10 / 11 mph,84 / 85°F,63%,1011 mb,Low level cloud: 0% Mid level cloud: 29% High level cloud: 2% Most Significant Cloud Type: medium 28%,Expect 0.01 In of precipitation over the past 3 hours. 0.01 In,
,10:00,NE,11 / 13 mph,87 / 88°F,55%,1012 mb,Low level cloud: 0% Mid level cloud: 20% High level cloud: 17% Most Significant Cloud Type: medium 21%,Expect 0.01 In of precipitation over the past 3 hours. 0.01 In,
,13:00,NE,12 / 13 mph,88 / 90°F,49%,1011 mb,Low level cloud: 0% Mid level cloud: 15% High level cloud: 0% Most Significant Cloud Type: medium 14%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,16:00,NE,11 / 13 mph,88 / 89°F,46%,1010 mb,Low level cloud: 0% Mid level cloud: 16% High level cloud: 0% Most Significant Cloud Type: medium 15%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,19:00,NE,6 / 6 mph,87 / 86°F,52%,1010 mb,Low level cloud: 0% Mid level cloud: 8% High level cloud: 0% Most Significant Cloud Type: medium 8%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,22:00,NNE,2 / 5 mph,69 / 69°F,77%,1012 mb,Low level cloud: 0% Mid level cloud: 7% High level cloud: 0% Most Significant Cloud Type: medium 7%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sat 15 Jul,01:00,NNE,4 / 8 mph,67 / 67°F,77%,1012 mb,Low level cloud: 0% Mid level cloud: 11% High level cloud: 0% Most Significant Cloud Type: medium 10%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,04:00,NNW,6 / 12 mph,68 / 68°F,73%,1012 mb,Low level cloud: 0% Mid level cloud: 4% High level cloud: 0% Most Significant Cloud Type: medium 4%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,07:00,NNW,6 / 7 mph,81 / 80°F,56%,1013 mb,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium 3%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,10:00,NNE,11 / 13 mph,86 / 85°F,45%,1014 mb,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium 3%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,13:00,NE,13 / 15 mph,87 / 87°F,42%,1014 mb,Low level cloud: 0% Mid level cloud: 2% High level cloud: 7% Most Significant Cloud Type: medium 2%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,16:00,NE,11 / 12 mph,88 / 87°F,42%,1013 mb,Low level cloud: 0% Mid level cloud: 1% High level cloud: 0% Most Significant Cloud Type: high 0%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,19:00,NE,5 / 6 mph,86 / 85°F,56%,1014 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 9% Most Significant Cloud Type: medium 5%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,22:00,ENE,13 / 26 mph,74 / 77°F,73%,1016 mb,Low level cloud: 0% Mid level cloud: 13% High level cloud: 66% Most Significant Cloud Type: medium 15%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,01:00,E,15 / 24 mph,76 / 78°F,68%,1017 mb,Low level cloud: 0% Mid level cloud: 11% High level cloud: 4% Most Significant Cloud Type: medium 10%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,04:00,E,12 / 22 mph,73 / 77°F,61%,1018 mb,Low level cloud: 0% Mid level cloud: 16% High level cloud: 2% Most Significant Cloud Type: medium 16%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,07:00,ENE,16 / 18 mph,79 / 79°F,50%,1019 mb,Low level cloud: 0% Mid level cloud: 27% High level cloud: 1% Most Significant Cloud Type: medium 26%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,10:00,ENE,18 / 21 mph,80 / 80°F,45%,1020 mb,Low level cloud: 0% Mid level cloud: 13% High level cloud: 1% Most Significant Cloud Type: medium 13%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,13:00,ENE,16 / 18 mph,81 / 80°F,43%,1020 mb,Low level cloud: 0% Mid level cloud: 18% High level cloud: 1% Most Significant Cloud Type: medium 18%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,16:00,ENE,12 / 13 mph,82 / 80°F,38%,1019 mb,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium 2%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,19:00,E,6 / 7 mph,83 / 80°F,44%,1019 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 0% Most Significant Cloud Type: medium 5%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,22:00,NE,6 / 13 mph,70 / 70°F,65%,1021 mb,Low level cloud: 0% Mid level cloud: 10% High level cloud: 0% Most Significant Cloud Type: medium 9%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Mon 17 Jul,01:00,NE,9 / 18 mph,69 / 69°F,61%,1021 mb,Low level cloud: 0% Mid level cloud: 12% High level cloud: 0% Most Significant Cloud Type: medium 11%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,04:00,ENE,7 / 15 mph,69 / 69°F,65%,1020 mb,Low level cloud: 0% Mid level cloud: 8% High level cloud: 0% Most Significant Cloud Type: medium 7%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,07:00,ENE,9 / 11 mph,84 / 83°F,49%,1021 mb,Low level cloud: 0% Mid level cloud: 8% High level cloud: 0% Most Significant Cloud Type: medium 7%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,10:00,ENE,11 / 13 mph,87 / 86°F,43%,1021 mb,Low level cloud: 0% Mid level cloud: 7% High level cloud: 0% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,13:00,ENE,12 / 14 mph,88 / 88°F,41%,1020 mb,Low level cloud: 0% Mid level cloud: 5% High level cloud: 0% Most Significant Cloud Type: medium 4%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,16:00,E,10 / 11 mph,88 / 88°F,41%,1019 mb,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium 3%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,19:00,ESE,5 / 6 mph,88 / 88°F,49%,1019 mb,Low level cloud: 0% Mid level cloud: 2% High level cloud: 0% Most Significant Cloud Type: medium 1%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,22:00,S,4 / 7 mph,72 / 76°F,67%,1020 mb,Low level cloud: 0% Mid level cloud: 1% High level cloud: 3% Most Significant Cloud Type: medium 1%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Tue 18 Jul,01:00,S,4 / 7 mph,65 / 65°F,65%,1019 mb,Low level cloud: 0% Mid level cloud: 1% High level cloud: 0% Most Significant Cloud Type: high 0%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,04:00,SSW,4 / 8 mph,64 / 64°F,65%,1019 mb,Low level cloud: 0% Mid level cloud: 2% High level cloud: 0% Most Significant Cloud Type: medium 2%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,07:00,WSW,3 / 4 mph,83 / 80°F,46%,1020 mb,Low level cloud: 0% Mid level cloud: 4% High level cloud: 0% Most Significant Cloud Type: medium 3%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,10:00,ENE,5 / 6 mph,89 / 89°F,46%,1019 mb,Low level cloud: 0% Mid level cloud: 5% High level cloud: 1% Most Significant Cloud Type: medium 5%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,13:00,ENE,11 / 13 mph,92 / 94°F,43%,1018 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 4% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,16:00,E,13 / 14 mph,90 / 92°F,46%,1017 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 8% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,19:00,ESE,10 / 12 mph,87 / 87°F,52%,1017 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 4% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,22:00,SSE,6 / 14 mph,73 / 77°F,64%,1018 mb,Low level cloud: 0% Mid level cloud: 10% High level cloud: 2% Most Significant Cloud Type: medium 9%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Wed 19 Jul,01:00,S,4 / 7 mph,71 / 71°F,65%,1017 mb,Low level cloud: 0% Mid level cloud: 7% High level cloud: 0% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,04:00,SW,5 / 11 mph,68 / 68°F,59%,1017 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 0% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,07:00,W,5 / 8 mph,80 / 78°F,48%,1017 mb,Low level cloud: 0% Mid level cloud: 8% High level cloud: 0% Most Significant Cloud Type: medium 7%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,10:00,NNE,5 / 6 mph,93 / 94°F,42%,1017 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 9% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,13:00,ENE,12 / 14 mph,96 / 101°F,41%,1016 mb,Low level cloud: 0% Mid level cloud: 5% High level cloud: 1% Most Significant Cloud Type: medium 4%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,16:00,E,16 / 18 mph,94 / 99°F,46%,1015 mb,Low level cloud: 0% Mid level cloud: 7% High level cloud: 3% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,19:00,ESE,12 / 14 mph,89 / 92°F,49%,1015 mb,Low level cloud: 0% Mid level cloud: 9% High level cloud: 5% Most Significant Cloud Type: medium 8%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,22:00,SSE,6 / 13 mph,76 / 78°F,60%,1016 mb,Low level cloud: 0% Mid level cloud: 5% High level cloud: 3% Most Significant Cloud Type: medium 4%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
